smiles,scaffold,logP,tPSA,QED
Cc1ncoc1CNC(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1610199999999997,94.30000000000001,0.782313886069807
Cc1ncoc1CN(C)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
CN(Cc1cnco1)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1948,85.51,0.7239148052028354
CN(Cc1cnc(N(C)C)o1)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.2607999999999997,88.75000000000001,0.7129181070639083
Cc1nc(CN(C)C(=O)c2cc(-c3ccco3)on2)c(C)n1C,O=C(NCc1c[nH]cn1)c1cc(-c2ccco2)on1,2.5571400000000004,77.30000000000001,0.7393536721701819
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1nc(C)c(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.8116400000000015,85.51,0.736236348142857
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
CN(Cc1cnco1)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1948,85.51,0.7239148052028354
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)c(C)n1,O=C(NCc1cncnc1)c1cc(-c2ccco2)on1,2.613640000000001,85.26,0.7358701121386353
Cc1nc(C)c(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.8116400000000015,85.51,0.736236348142857
CN(Cc1cnco1)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1948,85.51,0.7239148052028354
Cc1nc(CN(C)C(=O)c2cc(-c3ccco3)on2)c(C)o1,O=C(NCc1cocn1)c1cc(-c2ccco2)on1,2.8116400000000015,85.51,0.736236348142857
Cc1ncoc1CNC(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1610199999999997,94.30000000000001,0.782313886069807
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncoc1CN(C)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
CN(Cc1cnco1)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1948,85.51,0.7239148052028354
CN(Cc1cnco1)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1948,85.51,0.7239148052028354
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1nc(CN(C)C(=O)c2cc(-c3ccco3)on2)oc1C,O=C(NCc1ncco1)c1cc(-c2ccco2)on1,2.8116400000000015,85.51,0.736236348142857
Cc1nc(C)c(C)c(CN(C)C(=O)c2cc(-c3ccco3)on2)n1,O=C(NCc1ccncn1)c1cc(-c2ccco2)on1,2.922060000000002,85.26,0.7325792126482841
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ccc(-c2cc(C(=O)N(C)Cc3cnc(C)o3)no2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.8116400000000015,85.51,0.736236348142857
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncoc1CN(C)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1nc(CN(C)C(=O)c2cc(-c3ccco3)on2)co1,O=C(NCc1cocn1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
CN(Cc1cnco1)C(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1948,85.51,0.7239148052028354
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccc(C(=O)N(C)C)o3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.20502,105.82000000000001,0.6880965714856496
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncc(CN(C)C(=O)c2cc(-c3ccco3)on2)o1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.5032200000000007,85.51,0.7324896338494026
Cc1ncoc1CNC(=O)c1cc(-c2ccco2)on1,O=C(NCc1cnco1)c1cc(-c2ccco2)on1,2.1610199999999997,94.30000000000001,0.782313886069807
